geoid_st,geoid_co,name_co,units,value,geoid,year
01,001,Autauga County,219,11103535,01001,1995
01,003,Baldwin County,1609,177983684,01003,1995
01,005,Barbour County,44,3489607,01005,1995
01,007,Bibb County,10,881500,01007,1995
01,009,Blount County,42,3568355,01009,1995
01,011,Bullock County,2,143000,01011,1995
01,013,Butler County,19,1157480,01013,1995
01,015,Calhoun County,182,14903718,01015,1995
01,017,Chambers County,16,1465900,01017,1995
01,019,Cherokee County,17,1314848,01019,1995
01,021,Chilton County,32,1956000,01021,1995
01,023,Choctaw County,4,322608,01023,1995
01,025,Clarke County,32,2393420,01025,1995
01,027,Clay County,7,655600,01027,1995
01,029,Cleburne County,8,612000,01029,1995
01,031,Coffee County,165,11102230,01031,1995
01,033,Colbert County,149,10924785,01033,1995
01,035,Conecuh County,2,73400,01035,1995
01,037,Coosa County,2,80892,01037,1995
01,039,Covington County,17,1355700,01039,1995
01,041,Crenshaw County,3,289000,01041,1995
01,043,Cullman County,79,6164496,01043,1995
01,045,Dale County,52,4152665,01045,1995
01,047,Dallas County,19,986930,01047,1995
01,049,DeKalb County,44,3548850,01049,1995
01,051,Elmore County,328,25068642,01051,1995
01,053,Escambia County,30,2055852,01053,1995
01,055,Etowah County,236,21905793,01055,1995
01,057,Fayette County,18,1897750,01057,1995
01,059,Franklin County,39,2493201,01059,1995
01,061,Geneva County,13,846560,01061,1995
01,063,Greene County,4,228000,01063,1995
01,065,Hale County,1,95000,01065,1995
01,067,Henry County,29,2893700,01067,1995
01,069,Houston County,361,22145955,01069,1995
01,071,Jackson County,69,4939450,01071,1995
01,073,Jefferson County,2505,300537081,01073,1995
01,075,Lamar County,13,1153406,01075,1995
01,077,Lauderdale County,164,14738979,01077,1995
01,079,Lawrence County,12,1295743,01079,1995
01,081,Lee County,258,29972710,01081,1995
01,083,Limestone County,94,10333616,01083,1995
01,085,Lowndes County,1,130000,01085,1995
01,087,Macon County,31,1194574,01087,1995
01,089,Madison County,663,28994578,01089,1995
01,091,Marengo County,71,3118095,01091,1995
01,093,Marion County,27,2410000,01093,1995
01,095,Marshall County,159,13733259,01095,1995
01,097,Mobile County,1400,62752844,01097,1995
01,099,Monroe County,20,1360807,01099,1995
01,101,Montgomery County,975,75136919,01101,1995
01,103,Morgan County,331,24518804,01103,1995
01,105,Perry County,0,0,01105,1995
01,107,Pickens County,20,341920,01107,1995
01,109,Pike County,44,4010150,01109,1995
01,111,Randolph County,0,0,01111,1995
01,113,Russell County,148,9506886,01113,1995
01,115,St. Clair County,123,10235595,01115,1995
01,117,Shelby County,1595,153192191,01117,1995
01,119,Sumter County,11,434000,01119,1995
01,121,Talladega County,49,3941825,01121,1995
01,123,Tallapoosa County,78,4595500,01123,1995
01,125,Tuscaloosa County,670,34872973,01125,1995
01,127,Walker County,61,5858000,01127,1995
01,129,Washington County,2,144289,01129,1995
01,131,Wilcox County,0,0,01131,1995
01,133,Winston County,0,0,01133,1995
02,000,Alaska Balance of State,68,11847808,02000,1995
02,013,Aleutians East Borough,0,0,02013,1995
02,016,Aleutians West Census Area,7,1050000,02016,1995
02,020,Anchorage Borough,779,109795925,02020,1995
02,050,Bethel Census Area,63,6407230,02050,1995
