geoid,units_single_family,units_multi_family,units_total,year
01001,181,0,181,2000
01003,1841,631,2472,2000
01005,27,40,67,2000
01007,4,0,4,2000
01009,59,12,71,2000
01011,1,0,1,2000
01013,8,96,104,2000
01015,252,84,336,2000
01017,26,0,26,2000
01019,14,0,14,2000
01021,45,0,45,2000
01023,1,0,1,2000
01025,11,0,11,2000
01027,5,0,5,2000
01029,11,16,27,2000
01031,108,0,108,2000
01033,96,48,144,2000
01035,5,0,5,2000
01037,0,0,0,2000
01039,21,0,21,2000
01041,2,0,2,2000
01043,42,24,66,2000
01045,44,2,46,2000
01047,9,56,65,2000
01049,57,20,77,2000
01051,226,28,254,2000
01053,16,0,16,2000
01055,180,83,263,2000
01057,6,0,6,2000
01059,21,0,21,2000
01061,22,0,22,2000
01063,7,0,7,2000
01065,32,0,32,2000
01067,17,0,17,2000
01069,340,320,660,2000
01071,47,56,103,2000
01073,2347,710,3057,2000
01075,2,0,2,2000
01077,124,56,180,2000
01079,8,24,32,2000
01081,330,244,574,2000
01083,109,0,109,2000
01085,3,0,3,2000
01087,70,0,70,2000
01089,949,152,1101,2000
01091,8,0,8,2000
01093,25,40,65,2000
01095,153,0,153,2000
01097,1746,412,2158,2000
01099,13,48,61,2000
01101,811,24,835,2000
01103,367,0,367,2000
01105,3,0,3,2000
01107,14,0,14,2000
01109,25,0,25,2000
01111,2,0,2,2000
01113,108,250,358,2000
01115,204,3,207,2000
01117,1742,56,1798,2000
01119,7,0,7,2000
01121,77,24,101,2000
01123,39,48,87,2000
01125,582,127,709,2000
01127,32,0,32,2000
01129,5,0,5,2000
01131,0,0,0,2000
01133,3,0,3,2000
02000,153,14,167,2000
02013,1,0,1,2000
02016,19,32,51,2000
02020,821,369,1190,2000
02050,50,0,50,2000
02060,0,0,0,2000
02090,124,0,124,2000
02100,9,0,9,2000
02110,86,12,98,2000
02122,91,18,109,2000
02130,31,8,39,2000
02150,46,8,54,2000
02170,61,59,120,2000
02180,3,0,3,2000
02185,11,0,11,2000
02201,1,0,1,2000
02220,28,10,38,2000
02232,22,10,32,2000
02261,35,0,35,2000
02280,9,0,9,2000
02282,6,0,6,2000
04001,104,0,104,2000
04003,686,0,686,2000
04005,581,102,683,2000
04007,335,4,339,2000
04009,70,0,70,2000
04011,5,0,5,2000
04012,32,0,32,2000
04013,32049,11007,43056,2000
04015,1887,51,1938,2000
04017,555,29,584,2000
04019,6816,963,7779,2000
04021,2183,71,2254,2000
04023,329,111,440,2000
04025,2032,195,2227,2000
04027,1180,108,1288,2000
05001,13,0,13,2000
05003,5,20,25,2000
05005,58,73,131,2000
05007,1059,100,1159,2000
05009,138,13,151,2000
05011,3,0,3,2000
05013,2,0,2,2000
05015,35,4,39,2000
05017,12,0,12,2000
05019,29,0,29,2000
05021,8,6,14,2000
05023,36,10,46,2000
05025,0,0,0,2000
05027,12,0,12,2000
05029,9,0,9,2000
05031,274,46,320,2000
05033,115,34,149,2000
05035,217,188,405,2000
05037,27,4,31,2000
05039,3,0,3,2000
05041,15,16,31,2000
05043,39,30,69,2000
05045,459,64,523,2000
05047,15,0,15,2000
05049,9,0,9,2000
05051,105,0,105,2000
05053,8,0,8,2000
05055,200,4,204,2000
05057,16,0,16,2000
05059,5,2,7,2000
05061,17,0,17,2000
05063,10,24,34,2000
05065,16,0,16,2000
05067,22,0,22,2000
05069,109,30,139,2000
05071,26,0,26,2000
05073,2,16,18,2000
05075,16,4,20,2000
05077,12,21,33,2000
05079,9,0,9,2000
05081,2,0,2,2000
05083,8,0,8,2000
05085,333,23,356,2000
05087,5,0,5,2000
05089,173,6,179,2000
05091,161,0,161,2000
05093,40,0,40,2000
05095,7,25,32,2000
05099,4,0,4,2000
05101,3,0,3,2000
05103,8,0,8,2000
05105,0,0,0,2000
05107,9,0,9,2000
05111,57,0,57,2000
05113,19,4,23,2000
05115,89,46,135,2000
05117,6,0,6,2000
05119,1031,384,1415,2000
05121,25,17,42,2000
05123,16,64,80,2000
05125,409,35,444,2000
05127,3,20,23,2000
05129,3,0,3,2000
05131,265,154,419,2000
05133,7,0,7,2000
05135,5,0,5,2000
05137,10,0,10,2000
05139,7,0,7,2000
05141,0,0,0,2000
05143,944,739,1683,2000
05145,96,26,122,2000
05147,6,0,6,2000
05149,16,24,40,2000
06001,3071,983,4054,2000
06003,25,0,25,2000
06005,245,8,253,2000
06007,965,169,1134,2000
06009,425,0,425,2000
06011,44,2,46,2000
06013,4185,1294,5479,2000
06015,45,0,45,2000
06017,1389,87,1476,2000
06019,2909,247,3156,2000
06021,41,0,41,2000
06023,390,142,532,2000
06025,594,179,773,2000
06027,18,0,18,2000
06029,2862,208,3070,2000
06031,445,0,445,2000
06033,132,0,132,2000
06035,102,4,106,2000
06037,8372,8596,16968,2000
06039,549,99,648,2000
06041,437,156,593,2000
06043,87,0,87,2000
06045,270,14,284,2000
06047,1344,36,1380,2000
06049,0,0,0,2000
06051,99,138,237,2000
06053,1505,209,1714,2000
06055,538,4,542,2000
06057,739,92,831,2000
06059,6814,5706,12520,2000
06061,4745,1698,6443,2000
06063,178,0,178,2000
06065,13323,1702,15025,2000
06067,6293,1379,7672,2000
06069,538,0,538,2000
06071,5767,704,6471,2000
06073,9287,6305,15592,2000
06075,81,2685,2766,2000
06077,5350,42,5392,2000
06079,1541,132,1673,2000
06081,1143,1078,2221,2000
06083,759,108,867,2000
06085,2841,3798,6639,2000
06087,390,155,545,2000
06089,791,179,970,2000
06091,19,0,19,2000
06093,144,4,148,2000
06095,2047,186,2233,2000
06097,2013,492,2505,2000
06099,2799,224,3023,2000
06101,238,2,240,2000
06103,135,82,217,2000
06105,34,0,34,2000
06107,1539,88,1627,2000
06109,275,4,279,2000
06111,2984,976,3960,2000
06113,1041,161,1202,2000
06115,82,0,82,2000
08001,2901,2578,5479,2000
08003,54,0,54,2000
08005,4242,3898,8140,2000
08007,358,2,360,2000
08009,7,0,7,2000
08011,17,0,17,2000
08013,2474,306,2780,2000
08015,227,3,230,2000
08017,3,0,3,2000
08019,58,0,58,2000
08021,193,0,193,2000
08025,20,0,20,2000
08027,130,13,143,2000
08029,92,2,94,2000
08031,1439,2210,3649,2000
08033,7,0,7,2000
08035,4760,1635,6395,2000
08037,448,253,701,2000
08039,317,0,317,2000
08041,5086,1178,6264,2000
08043,377,8,385,2000
08045,516,158,674,2000
08047,83,0,83,2000
08049,346,198,544,2000
08051,208,122,330,2000
08053,11,4,15,2000
08055,96,0,96,2000
08057,24,0,24,2000
08059,1922,1094,3016,2000
08061,0,0,0,2000
08063,24,8,32,2000
08065,61,0,61,2000
08067,393,40,433,2000
08069,2724,800,3524,2000
08071,83,0,83,2000
08073,13,0,13,2000
08075,69,4,73,2000
08077,1132,184,1316,2000
08079,14,0,14,2000
08081,41,0,41,2000
08083,29,12,41,2000
08085,286,23,309,2000
08087,110,6,116,2000
08089,34,8,42,2000
08091,59,7,66,2000
08093,434,0,434,2000
08095,7,2,9,2000
08097,199,75,274,2000
08099,18,0,18,2000
08101,1028,70,1098,2000
08103,15,2,17,2000
08105,120,3,123,2000
08107,292,235,527,2000
08109,134,0,134,2000
08111,5,0,5,2000
08113,131,11,142,2000
08115,4,0,4,2000
08117,384,415,799,2000
08119,362,6,368,2000
08121,16,0,16,2000
08123,3934,435,4369,2000
08125,17,0,17,2000
09001,1602,676,2278,2000
09003,1619,86,1705,2000
09005,718,7,725,2000
09007,765,102,867,2000
09009,1597,321,1918,2000
09011,814,0,814,2000
09013,693,0,693,2000
09015,350,26,376,2000
10001,853,5,858,2000
10003,1640,691,2331,2000
10005,1422,0,1422,2000
11001,187,619,806,2000
12001,1072,901,1973,2000
12003,109,2,111,2000
12005,759,693,1452,2000
12007,59,0,59,2000
12009,3438,846,4284,2000
12011,9160,2810,11970,2000
12013,23,0,23,2000
12015,1211,459,1670,2000
12017,1176,14,1190,2000
12019,1520,8,1528,2000
12021,4065,3905,7970,2000
12023,289,0,289,2000
12027,45,76,121,2000
12029,51,2,53,2000
12031,3631,2170,5801,2000
12033,1363,92,1455,2000
12035,1335,110,1445,2000
12037,131,0,131,2000
12039,80,0,80,2000
12041,70,0,70,2000
12043,25,0,25,2000
12045,188,0,188,2000
12047,36,0,36,2000
12049,52,4,56,2000
12051,75,0,75,2000
12053,1150,176,1326,2000
12055,428,22,450,2000
12057,7328,4328,11656,2000
12059,41,0,41,2000
12061,1214,845,2059,2000
12063,194,75,269,2000
12065,70,0,70,2000
12067,30,0,30,2000
12069,3698,1533,5231,2000
12071,5152,3968,9120,2000
12073,1347,853,2200,2000
12075,130,26,156,2000
12077,6,0,6,2000
12079,45,0,45,2000
12081,2848,604,3452,2000
12083,2333,21,2354,2000
12085,1026,358,1384,2000
12086,5998,6477,12475,2000
12087,195,8,203,2000
12089,620,138,758,2000
12091,1057,432,1489,2000
12093,128,3,131,2000
12095,6174,4065,10239,2000
12097,3061,1974,5035,2000
12099,6769,3735,10504,2000
12101,3021,465,3486,2000
12103,1794,982,2776,2000
12105,3520,1226,4746,2000
12107,178,2,180,2000
12109,2086,398,2484,2000
12111,1719,374,2093,2000
12113,1050,6,1056,2000
12115,3041,617,3658,2000
12117,2467,1952,4419,2000
12119,1907,2,1909,2000
12121,125,0,125,2000
12123,45,2,47,2000
12125,28,0,28,2000
12127,3088,499,3587,2000
12129,391,3,394,2000
12131,903,561,1464,2000
12133,79,0,79,2000
13001,3,0,3,2000
13005,3,0,3,2000
13009,111,40,151,2000
13011,128,0,128,2000
13013,855,0,855,2000
13015,1222,133,1355,2000
13017,27,2,29,2000
13019,16,0,16,2000
13021,553,241,794,2000
13023,37,9,46,2000
13025,3,0,3,2000
13027,41,0,41,2000
13029,341,0,341,2000
13031,256,270,526,2000
13033,38,4,42,2000
13035,279,26,305,2000
13037,2,0,2,2000
13039,452,60,512,2000
13043,2,0,2,2000
13045,1650,206,1856,2000
13047,410,90,500,2000
13049,17,0,17,2000
13051,1236,686,1922,2000
13053,4,0,4,2000
13055,9,0,9,2000
13057,2882,894,3776,2000
13059,536,427,963,2000
13061,0,0,0,2000
13063,2323,1024,3347,2000
13065,0,0,0,2000
13067,5455,1187,6642,2000
13069,118,8,126,2000
13071,9,0,9,2000
13073,939,4,943,2000
13075,37,0,37,2000
13077,1240,39,1279,2000
13079,54,42,96,2000
13081,70,18,88,2000
13083,9,0,9,2000
13085,282,0,282,2000
13087,84,10,94,2000
13089,4266,1879,6145,2000
13091,41,0,41,2000
13093,0,0,0,2000
13095,187,209,396,2000
13097,890,11,901,2000
13099,5,0,5,2000
13103,399,46,445,2000
13105,4,10,14,2000
13107,0,0,0,2000
13109,12,0,12,2000
13111,797,0,797,2000
13113,938,0,938,2000
13115,307,75,382,2000
13117,3181,208,3389,2000
13119,22,0,22,2000
13121,3446,6175,9621,2000
13123,478,56,534,2000
13125,0,0,0,2000
13127,532,81,613,2000
13129,375,174,549,2000
13131,64,0,64,2000
13133,192,2,194,2000
13135,8852,3520,12372,2000
13137,374,2,376,2000
13139,1633,488,2121,2000
13141,37,0,37,2000
13143,102,4,106,2000
13145,301,0,301,2000
13147,7,8,15,2000
13149,56,0,56,2000
13151,3401,729,4130,2000
13153,1131,374,1505,2000
13155,0,0,0,2000
13157,766,98,864,2000
13159,153,0,153,2000
13161,1,0,1,2000
13163,28,0,28,2000
13165,0,0,0,2000
13167,0,0,0,2000
13169,220,20,240,2000
13171,66,24,90,2000
13173,23,16,39,2000
13175,45,0,45,2000
13177,279,6,285,2000
13179,177,44,221,2000
13181,43,0,43,2000
13185,501,385,886,2000
13187,347,7,354,2000
13189,55,0,55,2000
13191,91,0,91,2000
13193,14,0,14,2000
13195,154,0,154,2000
13199,158,0,158,2000
13201,3,0,3,2000
13205,79,20,99,2000
13207,146,0,146,2000
13209,35,2,37,2000
13211,168,21,189,2000
13213,200,23,223,2000
13215,556,419,975,2000
13217,1496,422,1918,2000
13219,241,0,241,2000
13223,2171,674,2845,2000
13225,115,16,131,2000
13227,408,2,410,2000
13229,66,0,66,2000
13231,212,0,212,2000
13233,256,10,266,2000
13235,73,0,73,2000
13237,184,2,186,2000
13239,1,0,1,2000
13241,285,14,299,2000
13243,0,0,0,2000
13245,483,42,525,2000
13247,454,312,766,2000
13249,4,0,4,2000
13251,6,0,6,2000
13253,0,0,0,2000
13255,422,8,430,2000
13257,87,4,91,2000
13259,0,0,0,2000
13261,49,23,72,2000
13263,35,0,35,2000
13267,4,0,4,2000
13269,14,0,14,2000
13271,1,0,1,2000
13273,45,3,48,2000
13275,192,0,192,2000
13277,116,0,116,2000
13279,22,2,24,2000
13281,181,0,181,2000
13283,0,0,0,2000
13285,324,266,590,2000
13287,1,3,4,2000
13289,22,0,22,2000
13291,399,2,401,2000
13293,133,5,138,2000
13295,294,40,334,2000
13297,1195,46,1241,2000
13299,67,0,67,2000
13301,0,0,0,2000
13303,13,0,13,2000
13305,9,4,13,2000
13309,0,0,0,2000
13311,312,3,315,2000
13313,367,509,876,2000
13315,0,0,0,2000
13317,13,0,13,2000
13321,44,0,44,2000
15001,1356,147,1503,2000
15003,1732,237,1969,2000
15007,263,27,290,2000
15009,904,239,1143,2000
16001,3625,374,3999,2000
16003,43,0,43,2000
16005,227,8,235,2000
16007,71,0,71,2000
16009,18,0,18,2000
16011,104,8,112,2000
16013,241,156,397,2000
16015,88,0,88,2000
16017,19,4,23,2000
16019,477,86,563,2000
16021,31,0,31,2000
16023,0,0,0,2000
16025,19,2,21,2000
16027,1895,148,2043,2000
16029,24,0,24,2000
16031,39,4,43,2000
16033,0,0,0,2000
16035,14,38,52,2000
16037,3,0,3,2000
16039,137,58,195,2000
16041,81,0,81,2000
16043,85,0,85,2000
16045,77,36,113,2000
16047,75,8,83,2000
16049,11,0,11,2000
16051,102,0,102,2000
16053,51,2,53,2000
16055,1058,116,1174,2000
16057,74,53,127,2000
16059,45,0,45,2000
16061,5,0,5,2000
16063,19,0,19,2000
16065,77,6,83,2000
16067,21,0,21,2000
16069,94,35,129,2000
16071,33,0,33,2000
16073,42,4,46,2000
16075,105,7,112,2000
16077,12,0,12,2000
16079,13,0,13,2000
16081,172,44,216,2000
16083,260,28,288,2000
16085,150,9,159,2000
16087,18,0,18,2000
17001,66,34,100,2000
17003,2,0,2,2000
17005,52,54,106,2000
17007,361,4,365,2000
17009,2,15,17,2000
17011,57,42,99,2000
17013,10,3,13,2000
17015,66,4,70,2000
17017,11,0,11,2000
17019,594,455,1049,2000
17021,86,13,99,2000
17023,12,2,14,2000
17025,11,0,11,2000
17027,81,17,98,2000
17029,38,63,101,2000
17031,5369,6508,11877,2000
17033,5,0,5,2000
17035,9,2,11,2000
17037,319,257,576,2000
17039,53,0,53,2000
17041,32,0,32,2000
17043,3292,639,3931,2000
17045,22,46,68,2000
17049,49,8,57,2000
